timestamp,sensor_id,temperature,pressure,humidity
2025-06-01T08:00:00,TI-A001,33.35,981.0,48.75
2025-06-01T08:05:00,TI-A002,23.36,1009.46,68.83
2025-06-01T08:10:00,TI-B001,39.41,983.48,56.1
2025-06-01T08:15:00,TI-B002,18.72,988.75,60.27
2025-06-01T08:20:00,TI-C001,18.64,987.95,67.49
2025-06-01T08:25:00,TI-A001,31.08,988.82,64.46
2025-06-01T08:30:00,TI-A002,37.43,980.26,75.29
2025-06-01T08:35:00,TI-B001,34.76,993.61,42.77
2025-06-01T08:40:00,TI-B002,40.97,993.46,39.64
2025-06-01T08:45:00,TI-C001,20.32,1013.9,65.19
2025-06-01T08:50:00,TI-A001,37.37,1009.19,61.81
2025-06-01T08:55:00,TI-A002,41.35,995.14,62.6
2025-06-01T09:00:00,TI-B001,37.91,1004.74,78.09
2025-06-01T09:05:00,TI-B002,31.86,1008.18,37.29
2025-06-01T09:10:00,TI-C001,23.47,991.58,38.99
2025-06-01T09:15:00,TI-A001,23.59,984.04,48.9
2025-06-01T09:20:00,TI-A002,33.26,994.59,53.51
2025-06-01T09:25:00,TI-B001,23.03,990.68,81.83
2025-06-01T09:30:00,TI-B002,33.55,1004.37,43.56
2025-06-01T09:35:00,TI-C001,35.5,986.54,53.97
2025-06-01T09:40:00,TI-A001,41.75,1005.6,62.85
2025-06-01T09:45:00,TI-A002,34.43,1013.71,73.8
2025-06-01T09:50:00,TI-B001,23.5,981.28,50.77
2025-06-01T09:55:00,TI-B002,24.43,988.44,82.15
2025-06-01T10:00:00,TI-C001,39.03,992.59,67.77
2025-06-01T10:05:00,TI-A001,27.5,1016.58,57.94
2025-06-01T10:10:00,TI-A002,24.36,989.87,63.07
2025-06-01T10:15:00,TI-B001,24.31,1003.38,79.89
2025-06-01T10:20:00,TI-B002,27.59,988.77,84.88
2025-06-01T10:25:00,TI-C001,30.23,983.64,37.36
2025-06-01T10:30:00,TI-A001,20.63,1005.1,74.6
2025-06-01T10:35:00,TI-A002,28.13,982.54,54.08
2025-06-01T10:40:00,TI-B001,41.91,1001.16,83.55
2025-06-01T10:45:00,TI-B002,38.66,980.46,71.04
2025-06-01T10:50:00,TI-C001,34.36,1001.48,48.34
2025-06-01T10:55:00,TI-A001,33.38,984.46,56.74
2025-06-01T11:00:00,TI-A002,28.89,1018.15,78.79
2025-06-01T11:05:00,TI-B001,24.32,1000.02,43.93
2025-06-01T11:10:00,TI-B002,39.9,1014.82,49.92
2025-06-01T11:15:00,TI-C001,33.33,1004.36,42.64
2025-06-01T11:20:00,TI-A001,36.3,1001.58,73.93
2025-06-01T11:25:00,TI-A002,30.73,980.02,51.21
2025-06-01T11:30:00,TI-B001,18.47,1017.16,78.94
2025-06-01T11:35:00,TI-B002,37.96,992.3,37.9
2025-06-01T11:40:00,TI-C001,39.07,1017.88,39.28
2025-06-01T11:45:00,TI-A001,29.66,982.77,73.03
2025-06-01T11:50:00,TI-A002,36.38,985.14,58.76
2025-06-01T11:55:00,TI-B001,31.2,990.6,78.62
2025-06-01T12:00:00,TI-B002,28.16,988.47,61.96
2025-06-01T12:05:00,TI-C001,35.52,988.05,50.59
2025-06-01T12:10:00,TI-A001,41.88,1006.0,56.91
2025-06-01T12:15:00,TI-A002,30.42,984.84,46.23
2025-06-01T12:20:00,TI-B001,26.11,1003.53,46.51
2025-06-01T12:25:00,TI-B002,23.29,982.84,66.56
2025-06-01T12:30:00,TI-C001,23.49,1016.22,77.98
2025-06-01T12:35:00,TI-A001,19.7,989.52,68.45
2025-06-01T12:40:00,TI-A002,23.14,985.29,81.78
2025-06-01T12:45:00,TI-B001,31.71,998.91,74.23
2025-06-01T12:50:00,TI-B002,37.38,987.62,39.85
2025-06-01T12:55:00,TI-C001,28.35,996.94,58.35
2025-06-01T13:00:00,TI-A001,35.5,1006.93,84.21
2025-06-01T13:05:00,TI-A002,20.36,996.1,51.97
2025-06-01T13:10:00,TI-B001,38.68,989.95,44.51
2025-06-01T13:15:00,TI-B002,28.77,996.88,48.93
2025-06-01T13:20:00,TI-C001,24.0,1016.93,57.16
2025-06-01T13:25:00,TI-A001,38.67,1002.01,37.53
2025-06-01T13:30:00,TI-A002,41.98,1013.44,83.45
2025-06-01T13:35:00,TI-B001,40.23,1013.95,43.32
2025-06-01T13:40:00,TI-B002,29.66,988.55,55.05
2025-06-01T13:45:00,TI-C001,19.41,995.16,84.27
2025-06-01T13:50:00,TI-A001,24.36,1011.36,57.75
2025-06-01T13:55:00,TI-A002,28.15,1018.29,84.77
2025-06-01T14:00:00,TI-B001,31.34,1008.74,42.74
2025-06-01T14:05:00,TI-B002,25.12,1018.75,63.96
2025-06-01T14:10:00,TI-C001,31.01,1009.92,37.86
2025-06-01T14:15:00,TI-A001,32.02,1000.11,77.64
2025-06-01T14:20:00,TI-A002,21.78,1018.43,39.01
2025-06-01T14:25:00,TI-B001,22.46,1003.8,68.76
2025-06-01T14:30:00,TI-B002,23.64,984.8,79.51
2025-06-01T14:35:00,TI-C001,23.91,1003.78,65.97
2025-06-01T14:40:00,TI-A001,28.06,1003.35,61.14
2025-06-01T14:45:00,TI-A002,40.43,988.17,70.81
2025-06-01T14:50:00,TI-B001,23.73,995.83,68.58
2025-06-01T14:55:00,TI-B002,25.2,992.65,72.59
2025-06-01T15:00:00,TI-C001,19.74,998.33,84.92
2025-06-01T15:05:00,TI-A001,41.91,982.93,45.66
2025-06-01T15:10:00,TI-A002,24.36,1017.33,79.04
2025-06-01T15:15:00,TI-B001,39.1,994.78,42.89
2025-06-01T15:20:00,TI-B002,38.01,1008.14,65.58
2025-06-01T15:25:00,TI-C001,41.69,1006.16,35.39
2025-06-01T15:30:00,TI-A001,37.61,991.98,68.17
2025-06-01T15:35:00,TI-A002,40.53,985.37,40.77
2025-06-01T15:40:00,TI-B001,20.57,1002.13,48.62
2025-06-01T15:45:00,TI-B002,32.52,1008.7,45.18
2025-06-01T15:50:00,TI-C001,33.22,990.56,59.43
2025-06-01T15:55:00,TI-A001,39.73,1013.84,39.61
2025-06-01T16:00:00,TI-A002,28.17,991.07,35.18
2025-06-01T16:05:00,TI-B001,36.51,1005.48,48.1
2025-06-01T16:10:00,TI-B002,35.79,1002.07,56.38
2025-06-01T16:15:00,TI-C001,18.23,983.01,79.16
2025-06-01T16:20:00,TI-A001,39.69,1001.82,76.73
2025-06-01T16:25:00,TI-A002,31.98,985.92,41.37
2025-06-01T16:30:00,TI-B001,25.4,1015.96,74.81
2025-06-01T16:35:00,TI-B002,38.66,1015.96,45.5
2025-06-01T16:40:00,TI-C001,23.99,984.11,74.01
2025-06-01T16:45:00,TI-A001,39.22,996.26,66.03
2025-06-01T16:50:00,TI-A002,21.71,1017.2,78.23
2025-06-01T16:55:00,TI-B001,41.43,1012.43,79.07
2025-06-01T17:00:00,TI-B002,18.59,1009.46,51.61
2025-06-01T17:05:00,TI-C001,40.34,1012.09,78.2
2025-06-01T17:10:00,TI-A001,37.46,990.67,74.37
2025-06-01T17:15:00,TI-A002,20.59,1014.89,77.93
2025-06-01T17:20:00,TI-B001,23.34,1012.66,58.02
2025-06-01T17:25:00,TI-B002,25.32,1011.81,46.38
2025-06-01T17:30:00,TI-C001,18.57,987.73,51.41
2025-06-01T17:35:00,TI-A001,38.74,1018.68,48.96
2025-06-01T17:40:00,TI-A002,33.4,995.99,84.06
2025-06-01T17:45:00,TI-B001,30.87,1017.57,40.77
2025-06-01T17:50:00,TI-B002,41.29,987.14,83.13
2025-06-01T17:55:00,TI-C001,24.37,984.34,56.73
2025-06-01T18:00:00,TI-A001,35.49,992.55,65.31
2025-06-01T18:05:00,TI-A002,30.27,995.41,63.83
2025-06-01T18:10:00,TI-B001,24.11,1008.35,35.08
2025-06-01T18:15:00,TI-B002,40.21,1001.54,70.97
2025-06-01T18:20:00,TI-C001,35.81,1006.83,53.21
2025-06-01T18:25:00,TI-A001,19.68,1006.57,51.51
2025-06-01T18:30:00,TI-A002,25.53,1013.92,70.99
2025-06-01T18:35:00,TI-B001,25.21,992.37,55.42
2025-06-01T18:40:00,TI-B002,27.66,991.83,41.36
2025-06-01T18:45:00,TI-C001,28.09,1017.61,68.87
2025-06-01T18:50:00,TI-A001,39.67,1004.62,50.05
2025-06-01T18:55:00,TI-A002,31.15,980.02,49.35
2025-06-01T19:00:00,TI-B001,28.32,1003.2,67.74
2025-06-01T19:05:00,TI-B002,29.16,997.69,45.69
2025-06-01T19:10:00,TI-C001,29.36,1016.05,74.8
2025-06-01T19:15:00,TI-A001,22.07,983.39,60.77
2025-06-01T19:20:00,TI-A002,33.19,993.41,75.92
2025-06-01T19:25:00,TI-B001,36.03,1006.91,46.23
2025-06-01T19:30:00,TI-B002,22.78,980.98,47.24
2025-06-01T19:35:00,TI-C001,29.4,1013.99,38.64
2025-06-01T19:40:00,TI-A001,27.95,1005.19,44.72
2025-06-01T19:45:00,TI-A002,34.71,999.78,47.2
2025-06-01T19:50:00,TI-B001,33.75,980.22,72.55
2025-06-01T19:55:00,TI-B002,36.48,984.26,56.26
2025-06-01T20:00:00,TI-C001,22.22,1018.32,60.9
2025-06-01T20:05:00,TI-A001,19.21,989.97,77.42
2025-06-01T20:10:00,TI-A002,28.96,1012.06,68.38
2025-06-01T20:15:00,TI-B001,41.71,1003.82,82.5
2025-06-01T20:20:00,TI-B002,39.39,1004.51,70.96
2025-06-01T20:25:00,TI-C001,30.11,1013.22,62.39
